Marital_status,Application_order,Course,Previous_qualification,Mother's_qualification,Father's_qualification,Admission_grade,Educational_special_needs,Gender,Scholarship_holder,Age_at_enrollment,Unemployment_rate,Inflation_rate,GDP,Target
single,NaN,Nursing,NaN,NaN,NaN,NaN,no,female,no,NaN,NaN,NaN,NaN,Dropout
?,5,Animation and Multimedia Design,1,19,12,127.3,no,male,no,20,10.8,1.4,1.74,Dropout
single,1,Tourism,1,1,3,142.5,no,male,no,19,13.9,-0.3,0.79,Graduate
single,5,Communication Design,1,37,37,124.8,no,male,no,19,10.8,1.4,1.74,Dropout
single,2,Journalism and Communication,1,38,37,119.6,no,female,no,20,9.4,-0.8,-3.12,Graduate
married,1,Social Service (evening attendance),1,37,38,141.5,no,female,no,45,13.9,-0.3,0.79,Graduate
married,1,Management (evening attendance),19,37,37,114.8,no,male,no,50,16.2,0.3,-0.92,Graduate
single,1,Nursing,1,19,38,128.4,no,female,yes,18,15.5,2.8,-4.06,Graduate
single,4,Tourism,1,37,37,113.1,no,male,no,22,15.5,2.8,-4.06,Dropout
single,3,Social Service,1,1,1,129.3,no,female,yes,21,16.2,0.3,-0.92,Graduate
single,1,Social Service,1,1,19,123,no,female,no,18,8.9,1.4,3.51,Dropout
single,1,Advertising and Marketing Management,1,38,19,130.6,no,female,no,18,13.9,-0.3,0.79,Graduate
single,1,Nursing,1,19,38,119.3,no,female,yes,18,12.7,3.7,-1.7,Graduate
single,2,Basic Education,1,19,37,130.2,no,female,no,19,12.7,3.7,-1.7,Dropout
single,1,Tourism,42,1,1,111.8,no,female,yes,21,8.9,1.4,3.51,Graduate
single,1,Veterinary Nursing,1,38,37,137.1,no,female,yes,18,10.8,1.4,1.74,Graduate
single,1,Journalism and Communication,1,19,37,120.7,no,female,no,20,15.5,2.8,-4.06,Dropout
single,1,Social Service,1,19,38,137.4,no,female,no,18,10.8,1.4,1.74,Enrolled
single,2,Nursing,1,19,1,127.3,no,female,no,18,15.5,2.8,-4.06,Graduate
single,1,Equinculture,1,3,19,136.3,no,female,no,20,10.8,1.4,1.74,Graduate
single,1,Basic Education,1,19,19,124.6,no,female,no,18,16.2,0.3,-0.92,Enrolled
single,3,Animation and Multimedia Design,1,1,1,120.3,no,female,yes,21,11.1,0.6,2.02,Graduate
single,4,Oral Hygiene,1,1,38,121.8,no,female,no,20,12.7,3.7,-1.7,Enrolled
single,4,Nursing,1,19,19,125.5,no,female,no,18,12.7,3.7,-1.7,Graduate
single,4,Advertising and Marketing Management,1,1,38,114.9,no,female,yes,19,11.1,0.6,2.02,Graduate
single,1,Nursing,1,19,19,123.9,no,female,no,19,11.1,0.6,2.02,Graduate
single,1,Social Service,1,19,38,157,no,female,yes,18,7.6,2.6,0.32,Enrolled
single,2,Social Service,1,19,38,116.4,no,female,no,21,16.2,0.3,-0.92,Graduate
single,1,Veterinary Nursing,1,19,19,131,no,female,no,18,9.4,-0.8,-3.12,Enrolled
single,1,Management,1,19,1,122.1,no,female,no,20,16.2,0.3,-0.92,Graduate
single,2,Nursing,1,3,3,118.8,no,male,no,19,16.2,0.3,-0.92,Enrolled
single,1,Agronomy,39,4,5,150,no,male,no,21,16.2,0.3,-0.92,Enrolled
single,1,Communication Design,1,42,3,130,no,male,no,20,8.9,1.4,3.51,Graduate
single,1,Management,1,1,1,138.8,no,male,no,18,8.9,1.4,3.51,Enrolled
single,1,Social Service (evening attendance),1,19,1,134.5,no,female,no,19,12.4,0.5,1.79,Graduate
single,1,Management (evening attendance),1,2,37,131.4,no,male,no,34,13.9,-0.3,0.79,Graduate
single,1,Biofuel Production Technologies,1,38,37,102.5,no,male,no,37,8.9,1.4,3.51,Dropout
single,1,Informatics Engineering,10,34,37,128.8,no,male,no,43,7.6,2.6,0.32,Dropout
single,1,Management,1,37,37,122.9,no,female,no,55,16.2,0.3,-0.92,Dropout
divorced,1,Management (evening attendance),1,19,19,113.9,no,female,no,39,7.6,2.6,0.32,Graduate
single,1,Equinculture,39,4,4,120,no,female,no,20,12.4,0.5,1.79,Dropout
single,5,Journalism and Communication,1,3,3,121.1,no,female,no,18,12.7,3.7,-1.7,Dropout
single,2,Management,1,3,19,120.4,no,female,no,22,8.9,1.4,3.51,Graduate
single,6,Nursing,1,1,3,100.6,yes,female,no,22,11.1,0.6,2.02,Graduate
single,1,Journalism and Communication,1,1,38,121.4,no,female,no,20,12.4,0.5,1.79,Dropout
single,1,Management (evening attendance),1,37,37,109.7,no,female,no,29,16.2,0.3,-0.92,Dropout
single,1,Management (evening attendance),1,38,38,134.1,no,female,no,24,7.6,2.6,0.32,Enrolled
single,2,Social Service,1,19,19,127.6,no,female,no,18,11.1,0.6,2.02,Graduate
single,6,Nursing,1,37,19,132.4,no,female,yes,22,11.1,0.6,2.02,Graduate
single,1,Social Service (evening attendance),39,1,19,133.4,no,female,yes,21,12.4,0.5,1.79,Graduate
single,1,Social Service,1,37,38,126.1,no,female,yes,19,12.7,3.7,-1.7,Graduate
single,1,Tourism,1,19,38,113.5,no,female,yes,24,12.4,0.5,1.79,Graduate
single,1,Nursing,1,37,38,121.3,no,female,yes,19,9.4,-0.8,-3.12,Enrolled
single,1,Journalism and Communication,1,1,19,121.8,no,female,yes,20,9.4,-0.8,-3.12,Enrolled
single,3,Equinculture,1,37,37,159.3,no,female,no,19,7.6,2.6,0.32,Graduate
single,1,Management (evening attendance),1,38,38,120,no,female,no,27,9.4,-0.8,-3.12,Dropout
single,1,Nursing,1,1,19,129.1,no,female,no,18,15.5,2.8,-4.06,Graduate
married,1,Tourism,3,1,3,130,no,female,no,39,12.4,0.5,1.79,Dropout
single,1,Equinculture,40,3,3,155.3,no,female,no,27,12.4,0.5,1.79,Dropout
single,1,Nursing,1,38,38,139.8,no,female,no,18,9.4,-0.8,-3.12,Graduate
single,3,Animation and Multimedia Design,1,38,37,115.2,no,female,no,18,7.6,2.6,0.32,Enrolled
single,2,Nursing,1,19,19,114.9,no,female,no,18,16.2,0.3,-0.92,Graduate
single,1,Social Service,39,19,1,131.9,no,female,yes,21,13.9,-0.3,0.79,Graduate
single,3,Animation and Multimedia Design,1,1,37,126,no,male,yes,19,10.8,1.4,1.74,Enrolled
single,1,Communication Design,1,1,1,130.2,no,male,no,19,10.8,1.4,1.74,Enrolled
single,1,Communication Design,1,1,1,120.9,no,male,no,24,12.7,3.7,-1.7,Enrolled
divorced,1,Nursing,19,1,1,126,no,male,no,29,13.9,-0.3,0.79,Dropout
single,3,Animation and Multimedia Design,1,19,19,128.2,no,male,yes,19,10.8,1.4,1.74,Graduate
single,1,Agronomy,39,19,37,130,no,male,no,23,8.9,1.4,3.51,Graduate
single,3,Management,1,1,38,120.1,no,male,no,19,16.2,0.3,-0.92,Dropout
single,1,Tourism,1,19,37,100,no,male,no,26,12.7,3.7,-1.7,Enrolled
single,1,Management,1,38,37,134,no,male,no,18,7.6,2.6,0.32,Enrolled
single,1,Nursing,1,37,19,130.8,no,male,no,24,13.9,-0.3,0.79,Graduate
single,1,Animation and Multimedia Design,1,19,19,135.8,no,male,no,19,15.5,2.8,-4.06,Dropout
single,4,Tourism,1,38,37,111.7,no,male,no,18,12.4,0.5,1.79,Dropout
single,2,Journalism and Communication,1,38,38,132.9,no,male,no,18,10.8,1.4,1.74,Graduate
single,3,Management,1,19,19,115.5,no,male,no,18,10.8,1.4,1.74,Dropout
single,4,Tourism,1,19,37,106,no,male,yes,21,9.4,-0.8,-3.12,Dropout
single,4,Journalism and Communication,1,1,19,120.3,no,male,yes,19,8.9,1.4,3.51,Graduate
single,4,Nursing,1,38,37,130.8,no,male,yes,22,16.2,0.3,-0.92,Graduate
married,1,Social Service (evening attendance),1,37,37,117,no,male,no,33,10.8,1.4,1.74,Graduate
single,6,Basic Education,1,19,19,110.2,no,male,no,20,10.8,1.4,1.74,Dropout
single,1,Management (evening attendance),2,3,3,155.7,no,male,no,35,10.8,1.4,1.74,Dropout
single,1,Agronomy,4,3,3,180.4,no,male,no,24,12.4,0.5,1.79,Dropout
single,1,Tourism,1,19,19,125.5,no,male,no,18,12.7,3.7,-1.7,Enrolled
married,1,Social Service (evening attendance),1,37,37,110,no,female,no,33,9.4,-0.8,-3.12,Graduate
single,1,Nursing,1,37,38,161,no,female,yes,22,10.8,1.4,1.74,Graduate
single,1,Advertising and Marketing Management,1,1,19,100,no,female,yes,25,9.4,-0.8,-3.12,Graduate
single,1,Communication Design,1,19,38,117.6,no,male,no,20,7.6,2.6,0.32,Graduate
single,6,Management,1,38,37,128.7,no,male,no,23,11.1,0.6,2.02,Enrolled
single,2,Informatics Engineering,1,38,19,112.2,no,male,no,18,15.5,2.8,-4.06,Enrolled
single,1,Nursing,1,1,1,100.8,no,male,no,24,13.9,-0.3,0.79,Dropout
single,2,Journalism and Communication,1,19,1,105,no,female,no,21,8.9,1.4,3.51,Graduate
single,1,Equinculture,1,1,1,100,no,female,no,26,8.9,1.4,3.51,Dropout
married,1,Basic Education,10,37,34,115.5,no,female,no,39,7.6,2.6,0.32,Dropout
married,1,Social Service (evening attendance),1,37,19,114,no,female,no,44,12.7,3.7,-1.7,Graduate
single,1,Informatics Engineering,1,38,3,137,no,male,no,19,13.9,-0.3,0.79,Enrolled
single,5,Journalism and Communication,1,37,1,124.9,no,female,no,18,8.9,1.4,3.51,Graduate
single,5,Nursing,1,37,37,120.3,no,female,yes,18,12.4,0.5,1.79,Graduate
single,1,Veterinary Nursing,1,1,2,134.3,no,female,no,19,12.7,3.7,-1.7,Enrolled
single,4,Nursing,1,3,3,111.5,no,female,no,19,13.9,-0.3,0.79,Dropout
single,1,Veterinary Nursing,42,38,38,128.8,no,female,no,21,8.9,1.4,3.51,Dropout
single,4,Animation and Multimedia Design,1,1,1,110,no,female,no,20,16.2,0.3,-0.92,Graduate
married,1,Social Service (evening attendance),1,37,37,113.5,no,female,no,36,9.4,-0.8,-3.12,Dropout
divorced,1,Agronomy,12,37,37,160,no,female,no,43,15.5,2.8,-4.06,Graduate
single,1,Basic Education,1,19,19,117.4,no,female,no,19,11.1,0.6,2.02,Dropout
single,1,Communication Design,1,3,1,122.2,no,female,no,20,11.1,0.6,2.02,Graduate
single,2,Social Service,1,37,38,118.2,no,female,no,19,16.2,0.3,-0.92,Dropout
single,1,Veterinary Nursing,1,1,1,106.7,no,female,no,20,15.5,2.8,-4.06,Dropout
single,5,Nursing,1,3,4,108.2,no,female,no,20,12.4,0.5,1.79,Dropout
single,2,Basic Education,1,19,1,107,no,female,no,20,16.2,0.3,-0.92,Enrolled
single,1,Social Service,1,37,37,136.1,no,female,no,18,13.9,-0.3,0.79,Graduate
single,2,Management,1,1,38,115.3,no,female,yes,18,8.9,1.4,3.51,Enrolled
single,1,Veterinary Nursing,1,19,19,139.8,no,female,no,19,10.8,1.4,1.74,Graduate
single,3,Journalism and Communication,1,1,38,157,no,female,no,18,10.8,1.4,1.74,Graduate
single,2,Nursing,1,37,37,131,no,female,no,18,7.6,2.6,0.32,Dropout
